Ticker,date,LTM_REVENUE,LTM_EPS,LTM_OPERATING_INCOME,LTM_OPERATING_MARGIN,EV,NTM_PE,NTM_REVENUE,NTM_EPS,NTM_OPERATING_MARGIN,NTM_EV_EBITDA,LTM_EBITDA,MARKET_CAP,DAILY_VOLUME,LTM_DIVIDEND_YIELD,LTM_GROSS_MARGIN,LTM_EBIT_MARGIN,LONG_TERM_EPS_CAGR,LATEST_ANNUAL_DPS,LTM_EBITDA_MARGIN,TOTAL_DEBT_TO_ASSET,YOY_QUARTER_REVENUE_GROWTH,YOY_QUARTER_EPS_GROWTH,REVENUE_TO_CASH,LTM_EV_TO_EBITDA,LTM_PE,SHORT_INTEREST,SHORT_INTEREST_PERCENT_EQUITY_FLOAT,IMPLIED_CDS_SPREAD,IMPLIED_VOLATILITY_DELTA,TOTAL_CALL_OPEN_INTEREST,TOTAL_PUT_OPEN_INTEREST,PB,TOTAL_DEBT_TO_EQUITY,LTM_TOTAL_DEBT_TO_EBITDA,LTM_ROE,TANGIBLE_BOOK_VALUE_PER_SHARE,LTM_CAPITAL_EXPENDITURES,NET_DEBT,NTM_REVENUE_GROWTH,LTM_EV_REVENUE,LTM_EV_EBIT,LTM_EBITDA_CAPEX_MARGIN
AMZN,11/30/18,220957,15.0573,10761,4.8702,993612,51.482,265347,32.83,,21.64,25338,826440,5761760,,39.8688,4.8702,49.5,0,11.4674,30.5578,29.3343,1015.09,2.7699,39.2143,33.1749,488.969,5614310,1.37,71,36.633,465288,509356,21.1244,112.23,1.733,27.9134,50.2495,-13313,15291.74378,0.200898817,4.496856855,92.3345414
AMZN,12/31/18,232887,18.938,12420,5.3331,745506,45.75,265366,32.83,,17.897,27761,734416,6954510,,40.2474,5.3331,49.5,0,11.9204,30.3041,19.7343,60.5195,2.2798,26.8544,26.7445,488.969,5704760,1.392,89,44.245,448398,430625,16.9342,113.181,1.7755,28.2719,50.6945,-13426,15629.73113,0.139462486,3.201149055,60.02463768
AMZN,1/31/19,232887,18.938,12420,5.3331,745506,47.454,277578,36.219,,20.315,27761,840405,10910300,,40.2474,5.3331,50.8,0,11.9204,30.3041,19.7343,60.5195,2.2798,26.8544,30.5624,488.969,4327750,1.056,98,44.259,383739,375473,19.3781,113.181,1.7755,28.2719,50.6945,-13426,14731.68169,0.191899934,3.201149055,60.02463768
AMZN,2/28/19,232887,18.938,12420,5.3331,745506,45.294,274761,36.204,,19.346,27761,805489,3025890,,40.2474,5.3331,36.27,0,11.9204,30.3041,19.7343,60.5195,2.2798,26.8544,29.3047,491.203,4258410,1.033,93,21.396,340907,335209,18.4885,113.181,1.7755,28.2719,50.6945,-13426,9798.350852,0.179803939,3.201149055,60.02463768
AMZN,3/29/19,232887,18.938,12420,5.3331,745506,48.949,274858,36.38,,21.362,27761,874710,3320790,,40.2474,5.3331,36.27,0,11.9204,30.3041,19.7343,60.5195,2.2798,26.8544,26.0687,491.203,4724140,1.146,82,22.487,343195,368257,18.0981,113.181,1.7755,28.2719,50.6945,-13426,8876.149643,0.18022045,3.201149055,60.02463768
AMZN,4/30/19,241545,22.758,14913,6.174,908114,51.363,285936,37.508,,21.93,32273,948487,3506010,,41.0706,6.174,36.773,0,13.3611,38.7447,16.9625,115.476,2.5827,26.1095,28.1899,492.332,2628630,0.636,81,19.26,321640,367245,19.5796,142.543,1.984,30.0602,68.5,-13618,8579.064534,0.18377942,3.759605871,60.89411922
AMZN,5/31/19,241545,22.758,14913,6.174,908114,47.504,286239,37.367,,20.355,32273,873923,4618820,,41.0706,6.174,44.949,0,13.3611,38.7447,16.9625,115.476,2.5827,26.1095,26.0461,492.332,3097160,0.75,86,27.247,388061,378453,18.0404,142.543,1.984,30.0602,68.5,-13618,9120.753882,0.185033845,3.759605871,60.89411922
AMZN,6/28/19,241545,22.758,14913,6.174,908114,50.677,286208,37.367,,21.711,32273,932294,3037360,,41.0706,6.174,44.949,0,13.3611,38.7447,16.9625,115.476,2.5827,26.1095,26.3467,492.332,2942240,0.713,86,23.02,303905,335421,17.6298,142.543,1.984,30.0602,68.5,-13618,7668.383665,0.184905504,3.759605871,60.89411922
AMZN,7/31/19,252063,24.1,15014,5.9564,965604,52.335,303321,35.67,,21.09,34820,923414,4470730,,41.2663,5.9564,44.334,0,13.814,37.4255,19.8881,2.1113,2.8035,26.4332,26.1036,494.656,3357300,0.813,85,22.81,300971,347123,17.3798,134.965,1.9604,27.4734,77.5992,-13937,6479.46856,0.203353923,3.830804204,64.313574
AMZN,8/30/19,252063,24.1,15014,5.9564,965604,49.798,303244,35.67,,20.101,34820,878653,3064150,,41.2663,5.9564,44.334,0,13.814,37.4255,19.8881,2.1113,2.8035,26.4332,24.8783,494.656,3413950,0.82,84,23.132,345686,367303,16.5373,134.965,1.9604,27.4734,77.5992,-13937,7356.682893,0.203048444,3.830804204,64.313574
AMZN,9/30/19,252063,24.1,15014,5.9564,965604,48.594,303337,35.723,,19.657,34820,858678,2760770,,41.2663,5.9564,44.334,0,13.814,37.4255,19.8881,2.1113,2.8035,26.4332,24.3315,494.656,3230390,0.776,77,22.58,302076,331811,16.1614,134.965,1.9604,27.4734,77.5992,-13937,6155.731121,0.2034174,3.830804204,64.313574
AMZN,10/31/19,265468,22.58,14447,5.4421,890465,51.14,315206,34.741,,19.54,36972,880863,2781180,,41.1059,5.4421,33.98,0,13.9271,37.4643,23.6938,-27.0728,3.0093,23.5241,24.0944,495.797,3436900,0.823,55,17.21,330937,356726,15.5632,132.001,1.9705,23.7303,84.3919,-15282,6676.856993,0.187359682,3.354321425,61.63667197
AMZN,11/29/19,265468,22.58,14447,5.4421,890465,51.911,315313,34.69,,19.848,36972,892832,1923440,,41.1059,5.4421,33.98,0,13.9271,37.4643,23.6938,-27.0728,3.0093,23.5241,24.4106,495.797,3559980,0.852,43,18.919,357475,364859,15.7747,132.001,1.9705,23.7303,84.3919,-15282,5924.69028,0.187762744,3.354321425,61.63667197
AMZN,12/31/19,265468,22.58,14447,5.4421,890465,53.261,315371,34.694,,19.171,36972,916154,2510380,,41.1059,5.4421,30.133,0,13.9271,37.4643,23.6938,-27.0728,3.0093,23.5241,25.0267,495.797,3626860,0.868,34,20.416,366414,374126,16.1867,132.001,1.9705,23.7303,84.3919,-15282,6266.908096,0.187981226,3.354321425,61.63667197
AMZN,1/31/20,280522,23.01,14540,5.1832,942738,50.238,333712,39.984,,19.93,39998,999962,15567300,,40.99,5.1832,29.607,0,14.2584,34.4221,20.7977,6.4725,2.4226,23.5696,25.5632,497.81,3521880,0.839,28,25.406,305729,343022,16.119,124.936,1.9385,21.9451,86.8614,-16861,7868.065929,0.189610797,3.360656205,64.83755158
AMZN,2/28/20,280522,23.01,14540,5.1832,942738,46.198,334241,40.776,,18.708,39998,937750,9493800,,40.99,5.1832,29.607,0,14.2584,34.4221,20.7977,6.4725,2.4226,23.5696,24.0078,497.81,3487380,0.827,40,48.047,375963,322845,15.1161,124.936,1.9385,21.9451,86.8614,-16861,9556.544331,0.191496567,3.360656205,64.83755158
AMZN,3/31/20,280522,23.01,14540,5.1832,942738,48.846,334449,39.916,,19.578,39998,970591,5123630,,40.99,5.1832,34.85,0,14.2584,34.4221,20.7977,6.4725,2.4226,23.5696,24.8289,497.81,4399370,1.043,56,40.043,289591,291657,15.6455,124.936,1.9385,21.9451,86.8614,-16861,14050.36527,0.192238042,3.360656205,64.83755158
AMZN,4/30/20,296274,20.93,14109,4.7621,1001770,58.066,352636,42.607,,23.86,40307,1233350,9534610,,40.6384,4.7621,34.85,0,13.6046,35.3244,26.3853,-29.6961,2.7739,24.8535,31.3149,498.525,4948220,1.173,44,52.417,360426,322443,18.9136,119.731,1.9389,18.5817,101.269,-20366,12647.7736,0.190236065,3.381228187,71.00219718
